feature,selection_frequency,top20_frequency,permutation_importance,effect_size,effect_direction,missing_rate_change,ks_statistic,spc_alert_rate,rank_stability,consensus_rank,interpretation,absolute_effect_size,q_contribution,consensus_score
sensor_021,1.0,1.0,0.0033061791503711815,0.36358290759239836,higher among failures,0.0006604739497403196,0.34546107784431135,0.18675179569034317,0.30510051218771933,1,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.36358290759239836,0.012512833041748753,0.8953860640301318
sensor_247,0.75,0.75,0.002602810270887998,0.3035523557806445,higher among failures,0.27562718500167105,0.2757934595524957,0.0,0.6796227589829592,2,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.3035523557806445,0.0,0.8448210922787195
sensor_059,1.0,1.0,-0.0031615545635832825,0.6623974023757023,higher among failures,0.007297043517010519,0.3307884691325524,0.3399840383080607,1.0,3,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.6623974023757023,0.19237346131534655,0.8400188323917137
sensor_519,0.75,0.75,0.0019311845411654148,0.27278065583501754,higher among failures,0.27562718500167105,0.2729569707401033,0.0,0.37041520828107966,4,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.27278065583501754,0.0,0.8380414312617703
sensor_129,0.5,0.5,0.0009640065408387688,0.5103995524646271,higher among failures,0.007989347536617843,0.5728843017192974,0.0,0.15384615384615385,5,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.5103995524646271,0.0,0.8213747645951037
sensor_103,1.0,0.75,9.759580305046811e-05,0.4818926073861264,higher among failures,0.00398406374501992,0.4217310252996005,0.0,0.09294016602622353,6,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.4818926073861264,0.0,0.8016949152542373
sensor_510,1.0,0.25,0.0009716676091757248,0.40046617951549474,higher among failures,0.00398406374501992,0.3512330226364847,0.0,0.10189471924240713,7,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.40046617951549474,0.0,0.7981167608286253
sensor_064,1.0,1.0,0.0009253852981952013,0.2776686660971245,higher among failures,0.007297043517010519,0.14941988378871363,0.0,0.28989794855663564,8,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.2776686660971245,0.0,0.7891713747645953
sensor_065,1.0,1.0,0.00288203716895164,0.2573291888329672,higher among failures,0.007297043517010519,0.14746422459993624,0.0,0.2204812092115424,9,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.2573291888329672,0.0,0.7867231638418081
sensor_014,1.0,0.0,0.0004111438320163613,-0.2417497389489075,lower among failures,0.0,0.14913183484437742,0.22825219473264166,0.10160154936892239,10,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.2417497389489075,0.7632671732508252,0.7663841807909605
sensor_333,0.75,0.75,0.0019982208700090793,0.20173483547206378,higher among failures,0.00862860143978016,0.10856069751844397,0.0,0.5147186257614297,11,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.20173483547206378,0.0,0.7662900188323918
sensor_031,0.75,0.75,0.00019040627880843874,-0.21137589234750348,lower among failures,0.0006604739497403196,0.3421157684630738,0.0,0.3797958971132712,12,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.21137589234750348,0.0,0.7612052730696799
sensor_542,0.25,0.0,0.0,-0.25939815309497655,lower among failures,0.0,0.7283807512957492,0.4405426975259378,1.0,13,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.25939815309497655,0.0020144184583546095,0.7554613935969868
sensor_550,0.5,0.0,-0.0009536923634401812,0.16922537963799245,higher among failures,0.13348470299892307,0.20778755294884327,0.047086991221069435,0.6666666666666666,14,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.16922537963799245,0.003251013740202824,0.7512241054613935
sensor_477,0.5,0.5,0.0,0.18463697686974406,higher among failures,0.00862860143978016,0.26388464118041594,0.0,0.5,15,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.18463697686974406,0.0,0.7486817325800378
sensor_205,0.5,0.5,0.0,0.21366922236166733,higher among failures,0.00862860143978016,0.2464064386317908,0.0,0.14285714285714285,16,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.21366922236166733,0.0,0.7466101694915256
sensor_562,0.25,0.25,0.0,-0.17710550528061927,lower among failures,0.322300677449987,0.18059769732740338,0.0,1.0,17,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.17710550528061927,0.0,0.7463276836158194
sensor_125,0.5,0.0,0.0006157544926650577,-0.3884638655776943,lower among failures,0.007989347536617843,0.2580149201850316,0.0,0.125,18,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.3884638655776943,0.0,0.745762711864407
sensor_000,1.0,1.0,0.0022382662829745063,-0.30196296607625644,lower among failures,0.004665757741338242,0.08662567626141826,0.0,0.1774053291584318,19,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.30196296607625644,0.0,0.7447269303201507
sensor_554,0.75,0.0,0.00024020208802405936,0.18601234413666376,higher among failures,0.13348470299892307,0.17945584881068743,0.0,0.34654620645552786,20,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.18601234413666376,0.0,0.7441619585687382
sensor_341,0.25,0.25,0.0,0.19388315486464153,higher among failures,0.00862860143978016,0.23106103286384982,0.0,1.0,21,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.19388315486464153,0.0,0.7433145009416197
sensor_468,0.25,0.25,0.0,-0.2156317052587581,lower among failures,0.007297043517010519,0.2596889749713232,0.0,1.0,22,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.2156317052587581,0.0,0.7387947269303203
sensor_557,0.75,0.0,0.0002877181817856303,0.1833538186860507,higher among failures,0.13348470299892307,0.1387504072987944,0.0,0.1355556846194033,23,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.1833538186860507,0.0,0.7247645951035782
sensor_197,0.75,0.0,0.0026769050748864072,0.20628512481493627,higher among failures,0.00862860143978016,0.1210033534540576,0.0,0.6796227589829592,24,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.20628512481493627,0.0,0.7209981167608288
sensor_460,1.0,1.0,0.0010294671533531378,0.2766178618302799,higher among failures,0.0013315579227696406,0.04381938911022576,0.0,0.585786437626905,25,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.2766178618302799,0.0,0.7161016949152542
sensor_295,1.0,0.0,0.0009702078371599462,0.3146684876802033,higher among failures,0.0006604739497403196,0.309253493013972,0.0,0.08752482628899845,26,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.3146684876802033,0.0,0.7110169491525424
sensor_026,1.0,0.0,0.0004547382215342649,-0.24687130182460065,lower among failures,0.0006604739497403196,0.39077045908183633,0.0,0.12789210656028413,27,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.24687130182460065,0.0,0.7108286252354049
sensor_122,1.0,0.5,-0.004428977155293326,-0.3635999927522217,lower among failures,0.007989347536617843,0.2789352656488141,0.0,0.08920376686034932,28,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.3635999927522217,0.0,0.7056497175141243
sensor_022,1.0,0.0,0.00035421080469541234,-0.2617949035535851,lower among failures,0.0006604739497403196,0.338259481037924,0.0,0.07498258646697199,29,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.2617949035535851,0.0,0.7055555555555556
sensor_431,1.0,0.0,0.0011818259442247236,0.33147744257696216,higher among failures,0.0006604739497403196,0.25529740518962074,0.0,0.0832545344929116,30,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.33147744257696216,0.0,0.702919020715631
sensor_553,0.0,0.0,0.0,0.1705855827002532,higher among failures,0.13348470299892307,0.21421472792440527,0.040702314445331206,0.0,31,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.1705855827002532,0.01299247673875329,0.694632768361582
sensor_058,0.25,0.25,0.0,0.18957880519922604,higher among failures,0.0020026418957989614,0.16653057521321002,0.0,1.0,32,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.18957880519922604,0.0,0.6943502824858758
sensor_130,0.5,0.5,-0.0014306018052864175,0.2638866499515596,higher among failures,0.007989347536617843,0.23808390598679108,0.0,0.16666666666666666,33,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.2638866499515596,0.0,0.6925612052730697
sensor_102,0.25,0.25,0.0,-0.17749417065222003,lower among failures,0.005305011644500559,0.13472581916450843,0.0,1.0,34,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.17749417065222003,0.0,0.6917137476459511
sensor_556,0.0,0.0,0.0,0.16273360871794793,higher among failures,0.13348470299892307,0.2049038774845226,0.04389465283320032,0.0,35,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.16273360871794793,0.004605295709073527,0.6886064030131827
sensor_030,0.5,0.0,-0.0014947797237815793,0.20785501967939038,higher among failures,0.0006604739497403196,0.22893413173652694,0.5091779728651237,0.08333333333333333,36,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.20785501967939038,0.21231747594001657,0.6822975517890773
sensor_278,0.5,0.0,0.0,-0.17175809805710385,lower among failures,0.01062063331229012,0.17921505376344082,0.0,0.3333333333333333,37,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.17175809805710385,0.0,0.6799435028248588
sensor_210,0.75,0.0,0.0021383605806129607,0.26342311240902794,higher among failures,0.0,0.23663269690876965,0.0,0.14890977052086576,38,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.26342311240902794,0.0,0.6765536723163843
sensor_090,0.75,0.75,0.001394020364267752,-0.26291356175940495,lower among failures,0.0,0.052694680664824134,0.0,0.275887238151612,39,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.26291356175940495,0.0,0.6749529190207157
sensor_143,0.5,0.0,0.0,-0.20649202125358143,lower among failures,0.01062063331229012,0.1462795698924731,0.0,0.15384615384615385,40,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.20649202125358143,0.0,0.6749529190207157
sensor_411,0.25,0.0,0.0,0.19475032044089022,higher among failures,0.01062063331229012,0.13337634408602148,0.0,1.0,41,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.19475032044089022,0.0,0.6714689265536724
sensor_416,0.5,0.0,0.0,-0.19436652075172944,lower among failures,0.01062063331229012,0.14904301075268817,0.0,0.13333333333333333,42,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.19436652075172944,0.0,0.6709981167608287
sensor_095,0.5,0.0,0.0,0.23254374759297114,higher among failures,0.005305011644500559,0.19877105216594004,0.0,0.6666666666666666,43,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.23254374759297114,0.0,0.6706214689265537
sensor_310,0.5,0.0,0.00010826240063713938,0.1499359582975214,higher among failures,0.0013315579227696406,0.2441646746347942,0.0,0.047619047619047616,44,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.1499359582975214,0.0,0.6704331450094163
sensor_138,0.25,0.0,0.0,0.19842778452965631,higher among failures,0.01062063331229012,0.12212365591397847,0.0,1.0,45,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.19842778452965631,0.0,0.6667608286252354
sensor_200,1.0,0.0,0.00237972630188312,0.16735422734772357,higher among failures,0.007297043517010519,0.05487128377743093,0.0,0.12210903915707426,46,Candidate process variable; association-based triage signal for engineering investigation priority that does not establish causality.,0.16735422734772357,0.0,0.6654425612052732
