validation_scheme,fn_fp_cost_ratio,threshold,roc_auc,pr_auc,brier_score,balanced_accuracy,precision,recall,true_negative,false_positive,false_negative,true_positive,review_rate
random_stratified_holdout,1,0.99,0.7385015439622948,0.24427318474649615,0.058957141777474,0.5,0.0,0.0,293,0,21,0,0.0
chronological_holdout,1,0.26,0.6159635571400277,0.08737444626521616,0.053206677392469724,0.49326599326599324,0.0,0.0,293,4,17,0,0.012738853503184714
random_stratified_holdout,2,0.34,0.7385015439622948,0.24427318474649615,0.058957141777474,0.5424995936941329,0.4,0.09523809523809523,290,3,19,2,0.01592356687898089
chronological_holdout,2,0.26,0.6159635571400277,0.08737444626521616,0.053206677392469724,0.49326599326599324,0.0,0.0,293,4,17,0,0.012738853503184714
random_stratified_holdout,5,0.34,0.7385015439622948,0.24427318474649615,0.058957141777474,0.5424995936941329,0.4,0.09523809523809523,290,3,19,2,0.01592356687898089
chronological_holdout,5,0.24000000000000002,0.6159635571400277,0.08737444626521616,0.053206677392469724,0.49158249158249157,0.0,0.0,292,5,17,0,0.01592356687898089
random_stratified_holdout,10,0.15000000000000002,0.7385015439622948,0.24427318474649615,0.058957141777474,0.664635137331383,0.16176470588235295,0.5238095238095238,236,57,10,11,0.21656050955414013
chronological_holdout,10,0.24000000000000002,0.6159635571400277,0.08737444626521616,0.053206677392469724,0.49158249158249157,0.0,0.0,292,5,17,0,0.01592356687898089
random_stratified_holdout,20,0.08,0.7385015439622948,0.24427318474649615,0.058957141777474,0.648789208516171,0.10179640718562874,0.8095238095238095,143,150,4,17,0.5318471337579618
chronological_holdout,20,0.17,0.6159635571400277,0.08737444626521616,0.053206677392469724,0.55119825708061,0.12,0.17647058823529413,275,22,14,3,0.07961783439490445
random_stratified_holdout,50,0.03,0.7385015439622948,0.24427318474649615,0.058957141777474,0.5393304079310905,0.07246376811594203,0.9523809523809523,37,256,1,20,0.8789808917197452
chronological_holdout,50,0.02,0.6159635571400277,0.08737444626521616,0.053206677392469724,0.5,0.054140127388535034,1.0,0,297,0,17,1.0
