feature,selection_frequency,top20_frequency,mean_importance_when_top20,median_rank_when_top20,folds
sensor_103,1.0,1.0,0.03681803243864423,1.0,10
sensor_059,1.0,1.0,0.03228513639563173,2.0,10
sensor_510,1.0,0.8,0.02105445863671914,5.0,10
sensor_064,1.0,0.8,0.018680551674901978,13.0,10
sensor_477,0.8,0.7,0.022508650026100117,5.0,10
sensor_213,0.8,0.7,0.020409299543150412,7.0,10
sensor_130,0.9,0.7,0.020380577570781412,6.0,10
sensor_281,0.8,0.7,0.01902000018615847,8.0,10
sensor_125,1.0,0.6,0.02029461861626513,13.0,10
sensor_021,0.9,0.6,0.019708740783696787,7.5,10
sensor_129,1.0,0.6,0.01947821151195866,10.0,10
sensor_247,0.8,0.6,0.01809415445733899,11.0,10
sensor_316,1.0,0.5,0.016303703570650245,17.0,10
sensor_205,0.5,0.4,0.021999578881087806,6.0,10
sensor_183,0.8,0.4,0.019364386405753845,9.0,10
sensor_488,0.5,0.4,0.019317815172956693,12.5,10
sensor_423,0.5,0.4,0.018280952126330102,12.0,10
sensor_200,0.7,0.4,0.01816080307340383,10.5,10
sensor_351,0.8,0.4,0.018053635634592793,11.0,10
sensor_519,0.6,0.4,0.01746153574508659,13.5,10
sensor_180,1.0,0.4,0.01730524866787774,13.5,10
sensor_452,1.0,0.4,0.016679928487456894,13.0,10
sensor_455,0.8,0.4,0.016653893863694487,16.0,10
sensor_028,0.9,0.4,0.015898415243337467,15.5,10
sensor_031,0.3,0.3,0.020410346308400943,12.0,10
sensor_065,0.9,0.3,0.01866913600357015,11.0,10
sensor_319,0.6,0.3,0.018251087202943498,13.0,10
sensor_431,0.9,0.3,0.017224836195535966,9.0,10
sensor_014,0.8,0.3,0.016464498565879334,17.0,10
sensor_587,0.3,0.3,0.016228296699922644,13.0,10
sensor_081,0.2,0.2,0.03253367669710728,2.5,10
sensor_090,0.3,0.2,0.02530451511678297,5.5,10
sensor_341,0.4,0.2,0.02010470266784712,7.0,10
sensor_417,0.2,0.2,0.0190378686949811,10.5,10
sensor_063,0.7,0.2,0.01798961462775832,12.0,10
sensor_298,0.6,0.2,0.017100863313657545,15.0,10
sensor_433,0.6,0.2,0.016951048838445504,16.5,10
sensor_146,0.8,0.2,0.0167740219576449,14.5,10
sensor_056,0.7,0.2,0.015634810313537393,15.5,10
sensor_577,0.2,0.1,0.020162115938616856,9.0,10
sensor_000,0.1,0.1,0.020075965305796164,6.0,10
sensor_115,0.2,0.1,0.018754448026149038,10.0,10
sensor_123,0.6,0.1,0.01872766023171232,11.0,10
sensor_336,0.2,0.1,0.018423520341259058,8.0,10
sensor_310,0.4,0.1,0.018422307220830558,10.0,10
sensor_037,0.2,0.1,0.018208620674488505,13.0,10
sensor_468,0.3,0.1,0.018130251461778005,10.0,10
sensor_075,0.5,0.1,0.01802961726545573,11.0,10
sensor_070,0.6,0.1,0.017909281790523413,12.0,10
sensor_270,0.2,0.1,0.01782872672385587,11.0,10
sensor_124,0.8,0.1,0.01763930936162138,14.0,10
sensor_348,1.0,0.1,0.01721757055000446,15.0,10
sensor_446,0.5,0.1,0.017055370323223965,10.0,10
sensor_160,0.8,0.1,0.016850498384447028,11.0,10
sensor_175,0.5,0.1,0.016688713231659002,13.0,10
sensor_040,0.1,0.1,0.016546568188114123,17.0,10
sensor_121,0.8,0.1,0.016503841330542342,18.0,10
sensor_058,0.3,0.1,0.01628082366217489,14.0,10
sensor_469,0.6,0.1,0.016131078988189787,12.0,10
sensor_144,0.1,0.1,0.015886644597889406,17.0,10
sensor_279,0.1,0.1,0.01586833049792001,18.0,10
sensor_117,0.1,0.1,0.015674030877490704,19.0,10
sensor_560,0.1,0.1,0.015537072863496992,14.0,10
sensor_573,0.4,0.1,0.01550607778679769,15.0,10
sensor_333,0.5,0.1,0.01528502180822699,20.0,10
sensor_197,0.7,0.1,0.015258343333889013,20.0,10
sensor_095,1.0,0.0,0.0,,10
sensor_100,1.0,0.0,0.0,,10
sensor_122,1.0,0.0,0.0,,10
sensor_127,1.0,0.0,0.0,,10
sensor_227,0.8,0.0,0.0,,10
sensor_295,0.8,0.0,0.0,,10
sensor_337,0.8,0.0,0.0,,10
sensor_365,0.8,0.0,0.0,,10
sensor_430,0.8,0.0,0.0,,10
sensor_434,0.8,0.0,0.0,,10
sensor_435,0.8,0.0,0.0,,10
sensor_436,0.8,0.0,0.0,,10
sensor_026,0.7,0.0,0.0,,10
sensor_114,0.7,0.0,0.0,,10
sensor_138,0.7,0.0,0.0,,10
sensor_210,0.7,0.0,0.0,,10
sensor_249,0.7,0.0,0.0,,10
sensor_387,0.7,0.0,0.0,,10
sensor_511,0.7,0.0,0.0,,10
sensor_022,0.6,0.0,0.0,,10
sensor_068,0.6,0.0,0.0,,10
sensor_099,0.6,0.0,0.0,,10
sensor_104,0.6,0.0,0.0,,10
sensor_163,0.6,0.0,0.0,,10
sensor_196,0.6,0.0,0.0,,10
sensor_460,0.6,0.0,0.0,,10
sensor_471,0.6,0.0,0.0,,10
sensor_551,0.6,0.0,0.0,,10
sensor_554,0.6,0.0,0.0,,10
sensor_557,0.6,0.0,0.0,,10
sensor_078,0.5,0.0,0.0,,10
sensor_079,0.5,0.0,0.0,,10
sensor_164,0.5,0.0,0.0,,10
sensor_199,0.5,0.0,0.0,,10
sensor_203,0.5,0.0,0.0,,10
sensor_411,0.5,0.0,0.0,,10
sensor_499,0.5,0.0,0.0,,10
sensor_521,0.5,0.0,0.0,,10
sensor_550,0.5,0.0,0.0,,10
sensor_067,0.4,0.0,0.0,,10
sensor_159,0.4,0.0,0.0,,10
sensor_165,0.4,0.0,0.0,,10
sensor_170,0.4,0.0,0.0,,10
sensor_195,0.4,0.0,0.0,,10
sensor_294,0.4,0.0,0.0,,10
sensor_299,0.4,0.0,0.0,,10
sensor_300,0.4,0.0,0.0,,10
sensor_331,0.4,0.0,0.0,,10
sensor_467,0.4,0.0,0.0,,10
sensor_475,0.4,0.0,0.0,,10
sensor_553,0.4,0.0,0.0,,10
sensor_556,0.4,0.0,0.0,,10
sensor_038,0.3,0.0,0.0,,10
sensor_066,0.3,0.0,0.0,,10
sensor_126,0.3,0.0,0.0,,10
sensor_437,0.3,0.0,0.0,,10
sensor_441,0.3,0.0,0.0,,10
sensor_562,0.3,0.0,0.0,,10
sensor_010,0.2,0.0,0.0,,10
sensor_102,0.2,0.0,0.0,,10
sensor_152,0.2,0.0,0.0,,10
sensor_166,0.2,0.0,0.0,,10
sensor_198,0.2,0.0,0.0,,10
sensor_211,0.2,0.0,0.0,,10
sensor_280,0.2,0.0,0.0,,10
sensor_287,0.2,0.0,0.0,,10
sensor_301,0.2,0.0,0.0,,10
sensor_334,0.2,0.0,0.0,,10
sensor_349,0.2,0.0,0.0,,10
sensor_425,0.2,0.0,0.0,,10
sensor_470,0.2,0.0,0.0,,10
sensor_479,0.2,0.0,0.0,,10
sensor_542,0.2,0.0,0.0,,10
sensor_571,0.2,0.0,0.0,,10
sensor_575,0.2,0.0,0.0,,10
sensor_588,0.2,0.0,0.0,,10
sensor_061,0.1,0.0,0.0,,10
sensor_076,0.1,0.0,0.0,,10
sensor_086,0.1,0.0,0.0,,10
sensor_087,0.1,0.0,0.0,,10
sensor_089,0.1,0.0,0.0,,10
sensor_093,0.1,0.0,0.0,,10
sensor_133,0.1,0.0,0.0,,10
sensor_134,0.1,0.0,0.0,,10
sensor_135,0.1,0.0,0.0,,10
sensor_172,0.1,0.0,0.0,,10
sensor_174,0.1,0.0,0.0,,10
sensor_187,0.1,0.0,0.0,,10
sensor_207,0.1,0.0,0.0,,10
sensor_222,0.1,0.0,0.0,,10
sensor_307,0.1,0.0,0.0,,10
sensor_309,0.1,0.0,0.0,,10
sensor_317,0.1,0.0,0.0,,10
sensor_323,0.1,0.0,0.0,,10
sensor_332,0.1,0.0,0.0,,10
sensor_335,0.1,0.0,0.0,,10
sensor_339,0.1,0.0,0.0,,10
sensor_340,0.1,0.0,0.0,,10
sensor_343,0.1,0.0,0.0,,10
sensor_360,0.1,0.0,0.0,,10
sensor_363,0.1,0.0,0.0,,10
sensor_377,0.1,0.0,0.0,,10
sensor_385,0.1,0.0,0.0,,10
sensor_408,0.1,0.0,0.0,,10
sensor_443,0.1,0.0,0.0,,10
sensor_445,0.1,0.0,0.0,,10
sensor_459,0.1,0.0,0.0,,10
sensor_484,0.1,0.0,0.0,,10
sensor_494,0.1,0.0,0.0,,10
sensor_497,0.1,0.0,0.0,,10
sensor_541,0.1,0.0,0.0,,10
sensor_547,0.1,0.0,0.0,,10
sensor_559,0.1,0.0,0.0,,10
