strategy,review_capacity,reviewed_runs,actual_review_rate,failures_captured,failure_capture,false_alerts,review_precision,lift_over_random,development_failure_capture,chronological_robustness_gap,jaccard_overlap_with_ml,combined_ml_weight
random_review,0.05,16,0.050955414012738856,1,0.058823529411764705,15,0.0625,1.1544117647058822,0.18181818181818182,0.12299465240641712,0.0,
random_review,0.1,32,0.10191082802547771,1,0.058823529411764705,31,0.03125,0.5772058823529411,0.2727272727272727,0.213903743315508,0.04918032786885246,
random_review,0.2,63,0.20063694267515925,2,0.11764705882352941,61,0.031746031746031744,0.5863678804855275,0.45454545454545453,0.33689839572192515,0.07692307692307693,
random_review,0.3,95,0.30254777070063693,2,0.11764705882352941,93,0.021052631578947368,0.3888544891640867,0.45454545454545453,0.33689839572192515,0.11764705882352941,
existing_ml_risk,0.05,16,0.050955414012738856,0,0.0,16,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,
existing_ml_risk,0.1,32,0.10191082802547771,3,0.17647058823529413,29,0.09375,1.7316176470588236,0.09090909090909091,0.08556149732620322,1.0,
existing_ml_risk,0.2,63,0.20063694267515925,6,0.35294117647058826,57,0.09523809523809523,1.7591036414565826,0.18181818181818182,0.17112299465240643,1.0,
existing_ml_risk,0.3,95,0.30254777070063693,8,0.47058823529411764,87,0.08421052631578947,1.5554179566563469,0.18181818181818182,0.2887700534759358,1.0,
spc_alert_ranking,0.05,16,0.050955414012738856,0,0.0,16,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,
spc_alert_ranking,0.1,32,0.10191082802547771,0,0.0,32,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,
spc_alert_ranking,0.2,63,0.20063694267515925,1,0.058823529411764705,62,0.015873015873015872,0.29318394024276373,0.45454545454545453,0.3957219251336898,0.07692307692307693,
spc_alert_ranking,0.3,95,0.30254777070063693,1,0.058823529411764705,94,0.010526315789473684,0.19442724458204336,0.6363636363636364,0.5775401069518716,0.11764705882352941,
ml_spc_combined,0.05,16,0.050955414012738856,0,0.0,16,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0
ml_spc_combined,0.1,32,0.10191082802547771,0,0.0,32,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.0
ml_spc_combined,0.2,63,0.20063694267515925,1,0.058823529411764705,62,0.015873015873015872,0.29318394024276373,0.45454545454545453,0.3957219251336898,0.07692307692307693,0.0
ml_spc_combined,0.3,95,0.30254777070063693,1,0.058823529411764705,94,0.010526315789473684,0.19442724458204336,0.6363636363636364,0.5775401069518716,0.11764705882352941,0.0
