validation_scheme,target_review_fraction,reviewed_runs,actual_review_rate,failures_captured,total_failures,failure_recall,review_precision,lift_vs_baseline,false_alarms,score_cutoff
random_stratified_holdout,0.05,16,0.050955414012738856,5,21,0.23809523809523808,0.3125,4.6726190476190474,11,0.2479721589620742
random_stratified_holdout,0.1,32,0.10191082802547771,7,21,0.3333333333333333,0.21875,3.2708333333333335,25,0.18788737248436244
random_stratified_holdout,0.15,48,0.15286624203821655,9,21,0.42857142857142855,0.1875,2.803571428571429,39,0.16680697989397006
random_stratified_holdout,0.2,63,0.20063694267515925,10,21,0.47619047619047616,0.15873015873015872,2.3733938019652303,53,0.15315304623051101
random_stratified_holdout,0.25,79,0.2515923566878981,11,21,0.5238095238095238,0.13924050632911392,2.0819770946353224,68,0.13694028416760515
random_stratified_holdout,0.3,95,0.30254777070063693,14,21,0.6666666666666666,0.14736842105263157,2.2035087719298243,81,0.11945771376526505
chronological_holdout,0.05,16,0.050955414012738856,0,17,0.0,0.0,0.0,16,0.19408364232697334
chronological_holdout,0.1,32,0.10191082802547771,3,17,0.17647058823529413,0.09375,1.7316176470588234,29,0.15792067657754633
chronological_holdout,0.15,48,0.15286624203821655,5,17,0.29411764705882354,0.10416666666666667,1.9240196078431373,43,0.1336552664936699
chronological_holdout,0.2,63,0.20063694267515925,6,17,0.35294117647058826,0.09523809523809523,1.7591036414565824,57,0.11967866682935788
chronological_holdout,0.25,79,0.2515923566878981,7,17,0.4117647058823529,0.08860759493670886,1.6366344005956812,72,0.11005473697676789
chronological_holdout,0.3,95,0.30254777070063693,8,17,0.47058823529411764,0.08421052631578947,1.5554179566563466,87,0.10191861686194906
