threshold,false_positive,false_negative,true_positive,true_negative,expected_cost,recall,precision
0.01,1155,0,83,15,1155.0,1.0,0.06704361873990307
0.02,1113,0,83,57,1113.0,1.0,0.06939799331103678
0.03,1039,0,83,131,1039.0,1.0,0.07397504456327986
0.04,944,2,81,226,964.0,0.9759036144578314,0.07902439024390244
0.05,843,4,79,327,883.0,0.9518072289156626,0.08568329718004339
0.060000000000000005,746,8,75,424,826.0,0.9036144578313253,0.09135200974421437
0.06999999999999999,654,9,74,516,744.0,0.891566265060241,0.10164835164835165
0.08,593,12,71,577,713.0,0.8554216867469879,0.10692771084337349
0.09,534,19,64,636,724.0,0.7710843373493976,0.10702341137123746
0.09999999999999999,464,25,58,706,714.0,0.6987951807228916,0.1111111111111111
0.11,400,32,51,770,720.0,0.6144578313253012,0.1130820399113082
0.12,347,33,50,823,677.0,0.6024096385542169,0.12594458438287154
0.13,303,38,45,867,683.0,0.5421686746987951,0.12931034482758622
0.14,262,42,41,908,682.0,0.4939759036144578,0.1353135313531353
0.15000000000000002,226,45,38,944,676.0,0.4578313253012048,0.14393939393939395
0.16,207,51,32,963,717.0,0.3855421686746988,0.13389121338912133
0.17,191,56,27,979,751.0,0.3253012048192771,0.12385321100917432
0.18000000000000002,159,58,25,1011,739.0,0.30120481927710846,0.1358695652173913
0.19,133,59,24,1037,723.0,0.2891566265060241,0.15286624203821655
0.2,116,62,21,1054,736.0,0.25301204819277107,0.15328467153284672
0.21000000000000002,99,64,19,1071,739.0,0.2289156626506024,0.16101694915254236
0.22,81,66,17,1089,741.0,0.20481927710843373,0.17346938775510204
0.23,64,70,13,1106,764.0,0.1566265060240964,0.16883116883116883
0.24000000000000002,52,72,11,1118,772.0,0.13253012048192772,0.1746031746031746
0.25,40,73,10,1130,770.0,0.12048192771084337,0.2
0.26,35,75,8,1135,785.0,0.0963855421686747,0.18604651162790697
0.27,33,75,8,1137,783.0,0.0963855421686747,0.1951219512195122
0.28,28,76,7,1142,788.0,0.08433734939759036,0.2
0.29000000000000004,24,77,6,1146,794.0,0.07228915662650602,0.2
0.3,19,78,5,1151,799.0,0.060240963855421686,0.20833333333333334
0.31,15,78,5,1155,795.0,0.060240963855421686,0.25
0.32,11,78,5,1159,791.0,0.060240963855421686,0.3125
0.33,11,78,5,1159,791.0,0.060240963855421686,0.3125
0.34,7,78,5,1163,787.0,0.060240963855421686,0.4166666666666667
0.35000000000000003,7,80,3,1163,807.0,0.03614457831325301,0.3
0.36000000000000004,7,80,3,1163,807.0,0.03614457831325301,0.3
0.37,4,81,2,1166,814.0,0.024096385542168676,0.3333333333333333
0.38,2,82,1,1168,822.0,0.012048192771084338,0.3333333333333333
0.39,1,83,0,1169,831.0,0.0,0.0
0.4,1,83,0,1169,831.0,0.0,0.0
0.41000000000000003,1,83,0,1169,831.0,0.0,0.0
0.42000000000000004,1,83,0,1169,831.0,0.0,0.0
0.43,1,83,0,1169,831.0,0.0,0.0
0.44,0,83,0,1170,830.0,0.0,0.0
0.45,0,83,0,1170,830.0,0.0,0.0
0.46,0,83,0,1170,830.0,0.0,0.0
0.47000000000000003,0,83,0,1170,830.0,0.0,0.0
0.48000000000000004,0,83,0,1170,830.0,0.0,0.0
0.49,0,83,0,1170,830.0,0.0,0.0
0.5,0,83,0,1170,830.0,0.0,0.0
0.51,0,83,0,1170,830.0,0.0,0.0
0.52,0,83,0,1170,830.0,0.0,0.0
0.53,0,83,0,1170,830.0,0.0,0.0
0.54,0,83,0,1170,830.0,0.0,0.0
0.55,0,83,0,1170,830.0,0.0,0.0
0.56,0,83,0,1170,830.0,0.0,0.0
0.5700000000000001,0,83,0,1170,830.0,0.0,0.0
0.5800000000000001,0,83,0,1170,830.0,0.0,0.0
0.59,0,83,0,1170,830.0,0.0,0.0
0.6,0,83,0,1170,830.0,0.0,0.0
0.61,0,83,0,1170,830.0,0.0,0.0
0.62,0,83,0,1170,830.0,0.0,0.0
0.63,0,83,0,1170,830.0,0.0,0.0
0.64,0,83,0,1170,830.0,0.0,0.0
0.65,0,83,0,1170,830.0,0.0,0.0
0.66,0,83,0,1170,830.0,0.0,0.0
0.67,0,83,0,1170,830.0,0.0,0.0
0.68,0,83,0,1170,830.0,0.0,0.0
0.6900000000000001,0,83,0,1170,830.0,0.0,0.0
0.7000000000000001,0,83,0,1170,830.0,0.0,0.0
0.7100000000000001,0,83,0,1170,830.0,0.0,0.0
0.72,0,83,0,1170,830.0,0.0,0.0
0.73,0,83,0,1170,830.0,0.0,0.0
0.74,0,83,0,1170,830.0,0.0,0.0
0.75,0,83,0,1170,830.0,0.0,0.0
0.76,0,83,0,1170,830.0,0.0,0.0
0.77,0,83,0,1170,830.0,0.0,0.0
0.78,0,83,0,1170,830.0,0.0,0.0
0.79,0,83,0,1170,830.0,0.0,0.0
0.8,0,83,0,1170,830.0,0.0,0.0
0.81,0,83,0,1170,830.0,0.0,0.0
0.8200000000000001,0,83,0,1170,830.0,0.0,0.0
0.8300000000000001,0,83,0,1170,830.0,0.0,0.0
0.8400000000000001,0,83,0,1170,830.0,0.0,0.0
0.85,0,83,0,1170,830.0,0.0,0.0
0.86,0,83,0,1170,830.0,0.0,0.0
0.87,0,83,0,1170,830.0,0.0,0.0
0.88,0,83,0,1170,830.0,0.0,0.0
0.89,0,83,0,1170,830.0,0.0,0.0
0.9,0,83,0,1170,830.0,0.0,0.0
0.91,0,83,0,1170,830.0,0.0,0.0
0.92,0,83,0,1170,830.0,0.0,0.0
0.93,0,83,0,1170,830.0,0.0,0.0
0.9400000000000001,0,83,0,1170,830.0,0.0,0.0
0.9500000000000001,0,83,0,1170,830.0,0.0,0.0
0.9600000000000001,0,83,0,1170,830.0,0.0,0.0
0.97,0,83,0,1170,830.0,0.0,0.0
0.98,0,83,0,1170,830.0,0.0,0.0
0.99,0,83,0,1170,830.0,0.0,0.0
