week_start,runs,failures,failure_rate
2008-07-19,24,5,0.20833333333333334
2008-07-26,47,10,0.2127659574468085
2008-08-02,93,7,0.07526881720430108
2008-08-09,48,7,0.14583333333333334
2008-08-16,217,27,0.12442396313364056
2008-08-23,122,5,0.040983606557377046
2008-08-30,185,6,0.032432432432432434
2008-09-06,84,2,0.023809523809523808
2008-09-13,112,7,0.0625
2008-09-20,184,2,0.010869565217391304
2008-09-27,169,10,0.05917159763313609
2008-10-04,170,15,0.08823529411764706
2008-10-11,112,1,0.008928571428571428
